epoch,lr-Ranger,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,49,,17.625091552734375,,,,,
0,,89,,,13.734977722167969,33189440.0,20.12735939025879,1.114176869392395,8.533866882324219
0,,89,22.305219650268555,,,,,,
,0.03,90,,,,,,,
1,,99,,16.078100204467773,,,,,
1,,149,,14.637894630432129,,,,,
1,,179,,,18.26650047302246,51079980.0,25.56487464904785,1.067465901374817,10.331007957458496
1,,179,13.390734672546387,,,,,,
,0.03,180,,,,,,,
2,,199,,9.897034645080566,,,,,
2,,249,,10.190093994140625,,,,,
2,,269,,,16.148887634277344,33154634.0,22.44031524658203,1.0205671787261963,8.905356407165527
2,,269,12.03451919555664,,,,,,
,0.03,270,,,,,,,
3,,299,,12.734594345092773,,,,,
3,,349,,9.883073806762695,,,,,
3,,359,,,22.500534057617188,66630688.0,29.96163558959961,1.2031131982803345,12.299787521362305
3,,359,11.51282024383545,,,,,,
,0.03,360,,,,,,,
4,,399,,10.286739349365234,,,,,
4,,449,,12.059590339660645,,,,,
4,,449,,,18.40152931213379,51556012.0,27.527015686035156,1.0604193210601807,10.800456047058105
4,,449,10.999979019165039,,,,,,
